method,moderate_gray,total_gray,original_gray_became_yellow,original_yellow_became_gray,threshold_energy,global_zero_energy,max_displacement,mean_moved_displacement,max_edge_distortion,min_area_ratio,min_triangle_quality,gauss_bonnet_residual
original,26,48,0,0,1.1945397462716572,3.306510244845616,0.0,0,0.0,1.0,0.45153005617177333,-1.538325022920617e-12
normal_one_ring,25,47,6,5,0.16444045480540465,2.1659852721413144,0.012942138142899481,0.006609616321958025,0.23844116059647352,0.7252382424936755,0.39170446365104794,-1.5347723092418164e-12
double_cone,27,49,2,3,0.8244322940865647,2.7760676101219564,0.011022502974156512,0.007824357000539253,0.13392696114466052,0.7934847772425073,0.45153005617177333,-1.5347723092418164e-12
virtual_sphere,26,48,2,2,0.8622870812809842,2.8623854275805662,0.012758080817834954,0.010364623281175942,0.15226013887739423,0.7712704644527011,0.45153005617177333,-1.538325022920617e-12
