method,moved_vertex_count,max_displacement,mean_moved_displacement,rms_displacement_all_vertices,max_displacement_over_bbox_diagonal,max_accumulated_edge_distortion,p95_affected_edge_distortion,min_original_area_ratio,p05_affected_area_ratio,min_triangle_quality,p95_affected_face_normal_deviation_degrees,max_face_normal_deviation_degrees,faces_over_90_degrees
original_mesh_no_optimization,0,0,0,0,0,0,0,1,1,0.01390299115389804,0,0.0000017075472925031877,0
normal_joint_one_ring_local_objective_shape_constrained,2486,0.0002631940257680599,0.00005055801754819529,0.00001759534176675632,0.001051738536871636,0.2471302206991174,0.026330321083058803,0.3041276515017433,0.9764014737254595,0.008413121609649509,10.11802377105461,28.28734820550702,0
double_cone_30_rays_geometry_safety_constrained,423,0.00024886207947375183,0.00009418276881493188,0.000012018237676150471,0.0009944672512407762,0.19138720737464343,0.07868465087749218,0.3131028132160555,0.9026286775333765,0.01390299115389804,10.386616624742368,29.194758616106153,0
virtual_sphere_30_rays_geometry_safety_constrained,385,0.0002488652916740294,0.0001138792255697008,0.000013054559373306658,0.0009944800873787176,0.23973901999035874,0.08783969921440614,0.5938755635298364,0.8877698373590504,0.01390299115389804,10.289950529762182,73.80863316882588,0
