method,area_weighted_rms_surface_displacement,normalized_area_weighted_rms_surface_displacement,sampled_mean_corresponding_surface_displacement,normalized_sampled_mean_corresponding_surface_displacement,sampled_p95_corresponding_surface_displacement,normalized_sampled_p95_corresponding_surface_displacement,sampled_max_corresponding_surface_displacement,normalized_sampled_max_corresponding_surface_displacement,relative_total_surface_area_change,relative_bbox_x_change,relative_bbox_y_change,relative_bbox_z_change,surface_centroid_shift,normalized_surface_centroid_shift,surface_sample_count
original_mesh_no_optimization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000
normal_joint_one_ring_local_objective_shape_constrained,0.000014242475024900637,0.00005691375326779034,0.000003111506989580825,0.00001243376174340482,0.000020057321557573037,0.0000801502160505567,0.0002522161475088269,0.001007870300939505,0.00011622729112579549,0,-0.00006136042608858647,0.0008759136185092593,0.000010398029500939302,0.000041551126784706664,100000
double_cone_30_rays_geometry_safety_constrained,0.000009330873953802753,0.00003728671154775545,0.0000011002401983275193,0.0000043966234150622284,0,0,0.0002316537900412423,0.0009257019322066707,-0.0002724446658728336,0,-0.00038643461583301117,0,0.00000669881800001106,0.000026768863850693118,100000
virtual_sphere_30_rays_geometry_safety_constrained,0.000010187587521079572,0.000040710188471809355,0.0000012765735270814924,0.000005101261587012388,0,0,0.00023165678012462533,0.0009257138807526653,-0.0002287696475344879,0,-0.00030343281454506277,0,0.000006034704799566485,0.000024115029122817312,100000
