method,moderate_gray,total_gray,original_gray_became_yellow,original_yellow_became_gray,threshold_energy,global_zero_energy,max_displacement,mean_moved_displacement,max_edge_distortion,min_area_ratio,min_triangle_quality,gauss_bonnet_residual
original_mesh_no_optimization,533,540,0,0,14.15342319362764,40.93551504400519,0,0,0,1,0.01390299115389804,0
normal_joint_one_ring_local_objective_shape_constrained,156,163,432,55,0.6756890815351263,17.25064516722685,0.0002631940257680599,0.00005055801754819529,0.2471302206991174,0.3041276515017433,0.008413121609649509,-2.1316282072803006e-14
double_cone_30_rays_geometry_safety_constrained,202,209,369,38,3.658572996067717,21.522270379748555,0.00024886207947375183,0.00009418276881493188,0.19138720737464343,0.3131028132160555,0.01390299115389804,-7.105427357601002e-15
virtual_sphere_30_rays_geometry_safety_constrained,213,220,349,29,3.782399196769846,22.626637570098246,0.0002488652916740294,0.0001138792255697008,0.23973901999035874,0.5938755635298364,0.01390299115389804,0
