iteration,direction_mode,ray_count,gray_before,gray_after,accepted_vertex_updates,sign_change_brackets,tested_candidates,energy_before,energy_after,max_step,max_cumulative_displacement,gauss_bonnet_sum,gauss_bonnet_residual
0,sphere,30,533,252,330,797,85504,14.15342319362764,4.1463157843621845,0.0002488626548489249,0.0002488626548489231,-18.84955592154726,-2.4868995751603507e-14
1,sphere,30,252,230,86,304,35529,4.1463157843621845,3.9055048535906076,0.0001937763040210394,0.0002488626548489231,-18.849555921547257,-2.1316282072803006e-14
2,sphere,30,230,221,64,226,29743,3.9055048535906076,3.8033433760822586,0.00015718186541786462,0.0002488626548489231,-18.84955592154727,-3.552713678800501e-14
3,sphere,30,221,218,54,197,27853,3.8033433760822586,3.787576984401603,0.00015120913679010943,0.0002488626548489231,-18.849555921547275,-3.907985046680551e-14
4,sphere,30,218,218,51,196,27442,3.787576984401603,3.7846750492979946,7.566585323395453e-05,0.0002488626548489231,-18.849555921547264,-2.842170943040401e-14
5,sphere,30,218,216,48,184,27006,3.7846750492979946,3.7834249756562786,5.713921013316293e-05,0.0002488626548489231,-18.84955592154727,-3.552713678800501e-14
6,sphere,30,216,213,47,184,26813,3.7834249756562786,3.7829603612854648,2.1460091456098528e-05,0.0002488626548489231,-18.849555921547267,-3.197442310920451e-14
7,sphere,30,213,212,42,186,26286,3.7829603612854648,3.782706008851468,3.363835630291037e-05,0.0002488626548489231,-18.84955592154726,-2.4868995751603507e-14
8,sphere,30,212,212,42,176,26200,3.782706008851468,3.7825323673945452,1.4401857741881795e-05,0.0002488626548489231,-18.84955592154727,-3.552713678800501e-14
9,sphere,30,212,213,41,180,26235,3.7825323673945452,3.7824061541192284,1.4699751400570307e-05,0.0002488626548489231,-18.84955592154727,-3.552713678800501e-14
